input_id	normalized_id	resolved_symbol	mapping_source	mapping_status	candidates	n_objects	n_cohorts
ENSG00000227676	ENSG00000227676	LINC01068	gencode_v49	resolved	LINC01068	0	0
ENSG00000227678	ENSG00000227678	ENSG00000227678	gencode_v49	resolved	ENSG00000227678	0	0
ENSG00000227680	ENSG00000227680	ENSG00000227680	gencode_v49	resolved	ENSG00000227680	0	0
ENSG00000227681	ENSG00000227681	ENSG00000227681	gencode_v49	resolved	ENSG00000227681	0	0
ENSG00000227682.2	ENSG00000227682	ATP5F1AP2	gencode_v49	resolved	ATP5F1AP2	1	1
ENSG00000227685	ENSG00000227685	LINC02088	gencode_v49	resolved	LINC02088	0	0
ENSG00000227687	ENSG00000227687	ENSG00000227687	gencode_v49	resolved	ENSG00000227687	0	0
ENSG00000227694.1	ENSG00000227694	RPL23AP74	gencode_v49	resolved	RPL23AP74	1	1
ENSG00000227695	ENSG00000227695	DNMBP-AS1	gencode_v49	resolved	DNMBP-AS1	0	0
ENSG00000227698	ENSG00000227698	ENSG00000227698	gencode_v49	resolved	ENSG00000227698	0	0
ENSG00000227702	ENSG00000227702	LINC00111	gencode_v49	resolved	LINC00111	0	0
ENSG00000227704	ENSG00000227704	ENSG00000227704	gencode_v49	resolved	ENSG00000227704	0	0
ENSG00000227705	ENSG00000227705	ENSG00000227705	gencode_v49	resolved	ENSG00000227705	0	0
ENSG00000227706	ENSG00000227706	ERVH-3	gencode_v49	resolved	ERVH-3	0	0
ENSG00000227708	ENSG00000227708	LINC01850	gencode_v49	resolved	LINC01850	0	0
ENSG00000227712	ENSG00000227712	ENSG00000227712	gencode_v49	resolved	ENSG00000227712	0	0
ENSG00000227713	ENSG00000227713	ENSG00000227713	gencode_v49	resolved	ENSG00000227713	0	0
ENSG00000227716	ENSG00000227716	ENSG00000227716	gencode_v49	resolved	ENSG00000227716	0	0
ENSG00000227718	ENSG00000227718	ENSG00000227718	gencode_v49	resolved	ENSG00000227718	0	0
ENSG00000227719	ENSG00000227719	ENSG00000227719	gencode_v49	resolved	ENSG00000227719	0	0
ENSG00000227723	ENSG00000227723	ENSG00000227723	gencode_v49	resolved	ENSG00000227723	0	0
ENSG00000227726	ENSG00000227726	ENSG00000227726	gencode_v49	resolved	ENSG00000227726	0	0
ENSG00000227729	ENSG00000227729	RD3L	gencode_v49	resolved	RD3L	0	0
ENSG00000227733	ENSG00000227733	ENSG00000227733	gencode_v49	resolved	ENSG00000227733	0	0
ENSG00000227734	ENSG00000227734	ENSG00000227734	gencode_v49	resolved	ENSG00000227734	0	0
ENSG00000227740	ENSG00000227740	LINC02803	gencode_v49	resolved	LINC02803	0	0
ENSG00000227741	ENSG00000227741	PEA15-AS1	gencode_v49	resolved	PEA15-AS1	0	0
ENSG00000227742.2	ENSG00000227742	CALR4P	gencode_v49	resolved	CALR4P	1	1
ENSG00000227743	ENSG00000227743	ENSG00000227743	gencode_v49	resolved	ENSG00000227743	0	0
ENSG00000227744	ENSG00000227744	LINC01940	gencode_v49	resolved	LINC01940	0	0
ENSG00000227747.2	ENSG00000227747	ENSG00000227747	gencode_v49	resolved	ENSG00000227747	1	1
ENSG00000227748	ENSG00000227748	ENSG00000227748	gencode_v49	resolved	ENSG00000227748	0	0
ENSG00000227751	ENSG00000227751	RCC2-AS1	gencode_v49	resolved	RCC2-AS1	0	0
ENSG00000227753.3	ENSG00000227753	RPL36AP31	gencode_v49	resolved	RPL36AP31	1	1
ENSG00000227755.1	ENSG00000227755	ENSG00000227755	gencode_v49	resolved	ENSG00000227755	1	1
ENSG00000227757	ENSG00000227757	ENSG00000227757	gencode_v49	resolved	ENSG00000227757	0	0
ENSG00000227764	ENSG00000227764	NTRAS	gencode_v49	resolved	NTRAS	0	0
ENSG00000227765.4	ENSG00000227765	MYL12BP2	gencode_v49	resolved	MYL12BP2	1	1
ENSG00000227769	ENSG00000227769	ENSG00000227769	gencode_v49	resolved	ENSG00000227769	0	0
ENSG00000227770.1	ENSG00000227770	RPL7P12	gencode_v49	resolved	RPL7P12	1	1
ENSG00000227773	ENSG00000227773	ASH1L-IT1	gencode_v49	resolved	ASH1L-IT1	0	0
ENSG00000227775.3	ENSG00000227775	ENSG00000227775	gencode_v49	resolved	ENSG00000227775	1	1
ENSG00000227782	ENSG00000227782	ENSG00000227782	gencode_v49	resolved	ENSG00000227782	0	0
ENSG00000227788.1	ENSG00000227788	MTCO3P43	gencode_v49	resolved	MTCO3P43	1	1
ENSG00000227789.1	ENSG00000227789	MTCYBP7	gencode_v49	resolved	MTCYBP7	1	1
ENSG00000227791.3	ENSG00000227791	RPS10P9	gencode_v49	resolved	RPS10P9	1	1
ENSG00000227799.1	ENSG00000227799	CDPF1P1	gencode_v49	resolved	CDPF1P1	1	1
ENSG00000227800	ENSG00000227800	IGHD4-17	gencode_v49	resolved	IGHD4-17	0	0
ENSG00000227803	ENSG00000227803	ENSG00000227803	gencode_v49	resolved	ENSG00000227803	0	0
ENSG00000227805.1	ENSG00000227805	RPL21P90	gencode_v49	resolved	RPL21P90	1	1
ENSG00000227809	ENSG00000227809	ENSG00000227809	gencode_v49	resolved	ENSG00000227809	0	0
ENSG00000227811	ENSG00000227811	INKA2-AS1	gencode_v49	resolved	INKA2-AS1	0	0
ENSG00000227815.2	ENSG00000227815	ENSG00000227815	gencode_v49	resolved	ENSG00000227815	1	1
ENSG00000227818	ENSG00000227818	ENSG00000227818	gencode_v49	resolved	ENSG00000227818	0	0
ENSG00000227824	ENSG00000227824	ENSG00000227824	gencode_v49	resolved	ENSG00000227824	0	0
ENSG00000227825.4	ENSG00000227825	SLC9A7P1	gencode_v49	resolved	SLC9A7P1	1	1
ENSG00000227834.1	ENSG00000227834	ENSG00000227834	gencode_v49	resolved	ENSG00000227834	1	1
