feature_id	heldout_study_family	n_shared_states	state_profile_spearman	diagnostic_status
mechanism__angiogenesis_endothelial__reactome_vegf	GSE179994	4	-0.39999999999999997	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE189903	23	0.6851211909703306	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE200996	3	-0.5	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE205506	23	0.7404845195335896	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE206325	8	0.7857142857142858	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE207422_sc	8	0.7857142857142858	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE225063	8	0.6190476190476191	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE232240	13	0.8076923076923077	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE235863_5pt_cd8	2		NOT_TESTABLE
mechanism__angiogenesis_endothelial__reactome_vegf	GSE235863_9pt_cd45	17	0.4803921568627451	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE243013	15	0.8678571428571429	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE246613	10	0.9393939393939393	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE249974	23	0.5032131114053366	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE266919	18	0.8369453044375645	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE272734	2		NOT_TESTABLE
mechanism__angiogenesis_endothelial__reactome_vegf	GSE272735	8	0.6428571428571429	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE272993	8	0.4047619047619048	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE273718	8	0.6190476190476191	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE284205	23	0.7602571368776108	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE286827	23	0.8136432037064678	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE288199	8	-0.07142857142857144	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	GSE301741	13	0.9340659340659341	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	LAMBRECHT_BRCA	20	0.7984962406015037	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	LAMBRECHT_HCC	23	0.5343549837221699	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	PRJCA001063	14	0.7538461538461538	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	TASK01	23	0.7414731504007909	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	TASK02	23	0.5946614666214342	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	bi_2021_rcc	17	0.3474530140059973	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	krishna_2021_rcc	8	0.4523809523809524	PASS
